ID|Names|Levels|GoodsIn|GUIDExt|GUIDExtParent|
000000073|Плоский лист|2|1|b80b1792-3ffb-11e8-a200-88d7f6d608b5|b80b177b-3ffb-11e8-a200-88d7f6d608b5
000000075|Поликарбонат|2|1|b80b1794-3ffb-11e8-a200-88d7f6d608b5|b80b177b-3ffb-11e8-a200-88d7f6d608b5
000000077|Профнастил|2|1|b80b1796-3ffb-11e8-a200-88d7f6d608b5|b80b177b-3ffb-11e8-a200-88d7f6d608b5
000000079|Шифер|2|1|b80b1798-3ffb-11e8-a200-88d7f6d608b5|b80b177b-3ffb-11e8-a200-88d7f6d608b5
000000081|Штакетник Металлический|2|1|b80b179a-3ffb-11e8-a200-88d7f6d608b5|b80b177b-3ffb-11e8-a200-88d7f6d608b5
000000083|Металлопрокат|1|0|b80b179c-3ffb-11e8-a200-88d7f6d608b5|b80b174b-3ffb-11e8-a200-88d7f6d608b5
000000084|Арматура|2|1|b80b179d-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000086|Балка двутавровая|2|1|b80b179f-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000088|Катанка|2|1|b80b17a1-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000090|Квадрат|2|1|b80b17a3-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000092|Круг|2|1|b80b17a5-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000094|Лист|2|1|b80b17a7-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000096|Полоса|2|1|b80b17a9-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000098|Проволока вязальная|2|1|b80b17ab-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000100|Труба|2|1|b80b17ad-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000102|Уголок|2|1|b80b17af-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000104|Швеллер|2|1|b80b17b1-3ffb-11e8-a200-88d7f6d608b5|b80b179c-3ffb-11e8-a200-88d7f6d608b5
000000106|Утеплитель|1|0|b80b17b3-3ffb-11e8-a200-88d7f6d608b5|b80b174b-3ffb-11e8-a200-88d7f6d608b5
000000107|Утеплитель джутовый, льняной|2|1|b80b17b4-3ffb-11e8-a200-88d7f6d608b5|b80b17b3-3ffb-11e8-a200-88d7f6d608b5
000000109|Пенопласт|2|1|b80b17b6-3ffb-11e8-a200-88d7f6d608b5|b80b17b3-3ffb-11e8-a200-88d7f6d608b5
000000111|Утеплитель в матах|2|1|b80b17b8-3ffb-11e8-a200-88d7f6d608b5|b80b17b3-3ffb-11e8-a200-88d7f6d608b5
000000113|Утеплитель в рулонах|2|1|b80b17ba-3ffb-11e8-a200-88d7f6d608b5|b80b17b3-3ffb-11e8-a200-88d7f6d608b5
