^М/черепица Монтерей (0,5) 1180(1100)х4700 мм 2004 Апельсин Коричневый (Заказ)^|^^||2 163|0|0|0|0|f2f566f7-208f-11e5-84a1-d850e649679d|00000000-0000-0000-0000-000000000000||
^М/черепица Монтерей (0,5) 1180(1100)х2600 мм 2004 Апельсин Коричневый (Заказ)^|^^||1 197|0|0|0|0|f2f566fc-208f-11e5-84a1-d850e649679d|00000000-0000-0000-0000-000000000000||
^Профнастил С-8 (0,45) 1,20х2,6 м 1014 Слоновая Кость^|^^||975|0|0|0|0|f2f56703-208f-11e5-84a1-d850e649679d|00000000-0000-0000-0000-000000000000||
^Упаковка д/профнастила ^|^^||1 500|0|0|0|0|f2f5670a-208f-11e5-84a1-d850e649679d|00000000-0000-0000-0000-000000000000||
^Конек плоск.190х190х2000 мм 2004 Апельсин (Заказ)^|^^||450|0|0|0|0|8a8485a2-20ab-11e5-84a1-d850e649679d|00000000-0000-0000-0000-000000000000||
^Планка торцевая 80х90х2000 мм 2004 Апельсин^|^^||300|0|0|0|0|8a8485a7-20ab-11e5-84a1-d850e649679d|00000000-0000-0000-0000-000000000000||
^Планка примыкания 150х150х2000 мм 2004 Апельсин (Заказ)^|^^||320|0|0|0|0|8a8485b0-20ab-11e5-84a1-d850e649679d|00000000-0000-0000-0000-000000000000||
^Резиновый уплотнитель желоба ВС СТАНДАРТ Черный (П)^|^^||8|0|0|0|0|e9ee8fdd-2b6f-11e5-84bb-d850e649679d|00000000-0000-0000-0000-000000000000||
^Стенд под смесители Vigro^|^^||1|0|0|0|0|9faa9e22-2c76-11e5-84c5-d850e649679d|00000000-0000-0000-0000-000000000000||
^Отлив метал.300х2000 мм 6005 Зеленый^|^^|2|408|0|0|0|0|d4a6e28f-2546-11e5-84c8-d850e649679d|00000000-0000-0000-0000-000000000000||
^лоток для метизов 16*11,5*7,5мм ПЦ3740 ^|^^|30|75|0|0|0|0|b1a2b419-5813-11e4-84d8-d850e649679d|00000000-0000-0000-0000-000000000000||
^Уголок плоский оконный 100 х100 мм анодиров.(Р)^|^^||19|0|0|0|0|4c506487-5cd0-11e4-84d8-d850e649679d|00000000-0000-0000-0000-000000000000||
^М/черепица Монтерей (0,4) 1180х2950 мм 8017 Коричневый (Заказ)^|^^||975|0|0|0|0|e7e37158-26e3-11e5-84e4-d850e649679d|00000000-0000-0000-0000-000000000000||
